,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
2152,NATTO,55.02,211,19.4,11.0,1.9,12.68,5.4,4.89,217.0,8.6,115.0,174.0,729.0,7.0,3.03,0.667,1.528,8.8,13.0,0.16,0.19,0.0,0.215,0.13,8.0,0.0,8.0,8.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,23.1,1.591,2.43,6.21,0.0,175.0,1 cup,,,0.0
2153,NECTARINES RAW,87.59,44,1.06,0.32,0.48,10.55,1.7,7.89,6.0,0.28,9.0,26.0,201.0,0.0,0.17,0.086,0.054,0.0,5.4,0.034,0.027,1.125,0.185,0.025,5.0,0.0,5.0,5.0,6.2,0.0,332.0,17.0,0.0,0.0,150.0,98.0,0.0,130.0,0.77,0.0,0.0,2.2,0.025,0.088,0.113,0.0,143.0,"1 cup, slices",129.0,"1 small,  (2-1/3"" dia)",9.0
2154,NEW ZEALAND SPINACH RAW,94.0,14,1.5,0.2,1.8,2.5,1.5,0.29,58.0,0.8,39.0,28.0,130.0,130.0,0.38,0.093,0.639,0.7,30.0,0.04,0.13,0.5,0.312,0.304,15.0,0.0,15.0,15.0,,0.0,4400.0,,0.0,,,,,,1.42,0.0,0.0,337.0,0.032,0.005,0.084,0.0,56.0,"1 cup, chopped",,,28.0
2155,NOODLES CHINESE CHOW MEIN,1.18,475,8.11,15.43,2.6,72.8,3.7,5.71,20.0,4.73,52.0,161.0,120.0,1174.0,1.4,0.167,,43.0,0.0,0.578,0.421,5.95,0.533,0.11,106.0,84.0,22.0,165.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.3,0.0,0.0,1.4,2.229,8.929,3.571,0.0,28.0,".5 cup, dry",43.0,1.5 oz,0.0
2156,NOODLES EGG COOKED ENRICHED SALT,67.73,138,4.54,2.07,0.5,25.16,1.2,0.4,12.0,1.47,21.0,76.0,38.0,165.0,0.65,0.098,0.315,23.9,0.0,0.289,0.136,2.077,0.263,0.046,84.0,77.0,7.0,138.0,25.7,0.09,21.0,6.0,6.0,0.0,1.0,0.0,0.0,38.0,0.17,,,0.0,0.419,0.581,0.552,29.0,160.0,1 cup,,,0.0
2157,NOODLES EGG COOKED UNENRICHED SALT,67.73,138,4.54,2.07,0.5,25.16,1.2,0.4,12.0,0.6,21.0,76.0,38.0,165.0,0.65,0.098,0.315,23.9,0.0,0.03,0.02,0.4,0.263,0.046,7.0,0.0,7.0,7.0,25.7,0.09,21.0,6.0,6.0,0.0,1.0,0.0,0.0,38.0,0.17,,,0.0,0.419,0.581,0.552,29.0,160.0,1 cup,,,0.0
2158,NOODLES EGG DRY ENRICHED,9.01,384,14.16,4.44,1.12,71.27,3.3,1.88,35.0,4.01,58.0,241.0,244.0,21.0,1.92,0.297,0.855,78.8,0.0,1.133,0.426,8.387,0.912,0.216,230.0,201.0,29.0,370.0,78.7,0.29,62.0,17.0,17.0,0.0,2.0,1.0,0.0,110.0,0.37,0.3,11.0,0.5,1.18,1.252,1.331,84.0,38.0,1 cup,57.0,2 oz,0.0
2159,NOODLES EGG DRY UNENRICHED,9.01,384,14.16,4.44,1.12,71.27,3.3,1.88,35.0,1.9,58.0,241.0,244.0,21.0,1.92,0.297,0.855,78.8,0.0,0.17,0.09,2.1,0.912,0.216,29.0,0.0,29.0,29.0,78.7,0.29,62.0,17.0,17.0,0.0,2.0,1.0,0.0,110.0,0.37,0.3,11.0,0.5,1.18,1.252,1.331,84.0,38.0,1 cup,,,0.0
2160,NOODLES EGG ENRICHED COOKED,67.73,138,4.54,2.07,0.5,25.16,1.2,0.4,12.0,1.47,21.0,76.0,38.0,5.0,0.65,0.098,0.315,23.9,0.0,0.289,0.136,2.077,0.263,0.046,84.0,77.0,7.0,138.0,25.7,0.09,21.0,6.0,6.0,0.0,1.0,0.0,0.0,38.0,0.17,0.1,4.0,0.0,0.419,0.581,0.552,29.0,160.0,1 cup,,,0.0
2161,NOODLES EGG SPINACH ENRICHED COOKED,68.52,132,5.04,1.57,0.62,24.25,2.3,0.71,19.0,1.09,24.0,57.0,37.0,12.0,0.63,0.08,0.317,21.8,0.0,0.245,0.123,1.474,0.233,0.114,64.0,43.0,21.0,94.0,25.7,0.14,103.0,10.0,6.0,0.0,51.0,0.0,0.0,2232.0,0.55,0.1,4.0,101.1,0.361,0.493,0.349,33.0,160.0,1 cup,,,0.0
2162,NOODLES EGG SPINACH ENRICHED DRY,8.72,382,14.61,4.55,1.79,70.32,6.8,,56.0,4.2,82.0,193.0,355.0,72.0,1.83,0.257,1.02,,0.0,1.091,0.477,6.575,0.899,0.412,245.0,157.0,88.0,354.0,,0.4,315.0,,,,,,,,,,,,1.047,1.43,1.012,95.0,38.0,1 cup,57.0,2 oz,0.0
2163,NOODLES FLAT CRUNCHY CHINESE RESTAURANT,4.93,521,10.33,31.72,1.11,51.9,1.9,0.25,21.0,1.76,21.0,87.0,89.0,378.0,0.63,0.122,0.363,32.1,0.0,0.195,0.112,2.52,0.354,0.027,17.0,0.0,17.0,17.0,8.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,3.29,0.0,0.0,6.3,4.931,7.617,16.949,0.0,45.0,1 cup,,,0.0
2164,NOODLES JAPANESE SOBA COOKED,73.01,99,5.06,0.1,0.39,21.44,,,4.0,0.48,9.0,25.0,35.0,60.0,0.12,0.008,0.374,,0.0,0.094,0.026,0.51,0.235,0.04,7.0,0.0,7.0,7.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.019,0.026,0.031,0.0,114.0,1 cup,,,0.0
2165,NOODLES JAPANESE SOBA DRY,6.88,336,14.38,0.71,3.41,74.62,,,35.0,2.7,95.0,254.0,252.0,792.0,1.71,0.23,1.291,,0.0,0.48,0.13,3.21,0.954,0.24,60.0,0.0,60.0,60.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.136,0.185,0.22,0.0,57.0,2 oz,,,0.0
2166,NOODLES JAPANESE SOMEN COOKED,67.91,131,4.0,0.18,0.36,27.54,,,8.0,0.52,2.0,27.0,29.0,161.0,0.22,0.025,0.251,,0.0,0.02,0.033,0.097,0.172,0.013,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.025,0.021,0.073,0.0,176.0,1 cup,,,0.0
2167,NOODLES JAPANESE SOMEN DRY,9.21,356,11.35,0.81,4.54,74.1,4.3,,23.0,1.32,28.0,80.0,164.0,1840.0,0.45,0.144,0.479,8.3,0.0,0.101,0.026,0.875,0.491,0.05,14.0,0.0,14.0,14.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.115,0.095,0.33,0.0,57.0,2 oz,,,0.0
2168,NOPALES COOKED SALT,94.31,15,1.35,0.05,1.01,3.28,2.0,1.12,164.0,0.5,47.0,16.0,195.0,20.0,0.21,0.049,0.408,0.7,5.3,0.011,0.04,0.296,0.15,0.067,3.0,0.0,3.0,3.0,7.1,0.0,443.0,22.0,0.0,47.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.006,0.007,0.021,0.0,149.0,1 cup,29.0,1 pad,0.0
2169,NOPALES RAW,94.12,16,1.32,0.09,1.14,3.33,2.2,1.15,164.0,0.59,52.0,16.0,257.0,21.0,0.25,0.052,0.457,0.7,9.3,0.012,0.041,0.41,0.167,0.07,3.0,0.0,3.0,3.0,7.3,0.0,457.0,23.0,0.0,48.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.016,0.018,0.05,0.0,86.0,"1 cup, sliced",,,4.0
2170,NUTMEG GROUND,6.23,525,5.84,36.31,2.34,49.29,20.8,2.99,184.0,3.04,183.0,213.0,350.0,16.0,2.15,1.027,2.9,1.6,3.0,0.346,0.057,1.299,,0.16,76.0,0.0,76.0,76.0,8.8,0.0,102.0,5.0,0.0,0.0,28.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,25.94,3.22,0.35,0.0,2.2,1 tsp,7.0,1 tbsp,0.0
2171,NUTRITIONAL SUPPLEMENT PEOPLE DIABETES LIQUID,79.74,88,4.4,3.08,0.9,11.88,2.2,2.64,110.0,1.98,44.0,110.0,176.0,92.0,1.65,0.22,0.097,7.7,26.4,0.165,0.187,2.201,1.1,0.22,44.0,44.0,0.0,75.0,60.5,0.66,550.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,1.46,1.1,44.0,8.8,0.232,2.318,0.395,2.0,227.0,1 can,,,0.0
2172,NUTS CASHEW NUTS RAW,5.2,553,18.22,43.85,2.54,30.19,3.3,5.91,37.0,6.68,292.0,593.0,660.0,12.0,5.78,2.195,1.655,19.9,0.5,0.423,0.058,1.062,0.864,0.417,25.0,0.0,25.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.9,0.0,0.0,34.1,7.783,23.797,7.845,0.0,28.35,1 oz,,,
2173,NUTS COCONUT CREAM CANNED SWEETENED,28.97,357,1.17,16.31,0.34,53.21,0.2,51.5,4.0,0.13,17.0,22.0,101.0,36.0,0.6,0.236,0.815,5.5,0.0,0.022,0.04,0.038,0.163,0.029,14.0,0.0,14.0,14.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.1,15.472,0.679,0.159,0.0,19.0,1 tbsp,296.0,1 cup,0.0
2174,NUTS PILINUTS DRIED,2.77,719,10.8,79.55,2.91,3.98,,,145.0,3.53,302.0,575.0,507.0,3.0,2.97,0.958,2.313,,0.6,0.913,0.093,0.519,0.479,0.115,60.0,0.0,60.0,60.0,,0.0,41.0,2.0,0.0,,,,,,,,,,31.184,37.229,7.605,0.0,120.0,1 cup,28.35,"1 oz,  (15 kernels)",81.0
2175,NUTS PINE NUTS DRIED,2.28,673,13.69,68.37,2.59,13.08,3.7,3.59,16.0,5.53,251.0,575.0,597.0,2.0,6.45,1.324,8.802,0.7,0.8,0.364,0.227,4.387,0.313,0.094,34.0,0.0,34.0,34.0,55.8,0.0,29.0,1.0,0.0,0.0,17.0,0.0,0.0,9.0,9.33,0.0,0.0,53.9,4.899,18.764,34.071,0.0,135.0,1 cup,28.35,"1 oz,  (167 kernels)",23.0
2176,NUTS WALNUTS GLAZED,6.28,500,8.28,35.71,2.13,47.59,3.6,32.14,71.0,1.29,,,232.0,446.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,3.571,5.357,25.0,0.0,28.0,1 oz,,,0.0
2177,OAT BRAN COOKED,84.0,40,3.21,0.86,0.49,11.44,2.6,,10.0,0.88,40.0,119.0,92.0,1.0,0.53,0.066,0.964,7.7,0.0,0.16,0.034,0.144,0.217,0.025,6.0,0.0,6.0,6.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.163,0.291,0.339,0.0,219.0,1 cup,,,0.0
2178,OAT BRAN RAW,6.55,246,17.3,7.03,2.89,66.22,15.4,1.45,58.0,5.41,235.0,734.0,566.0,4.0,3.11,0.403,5.63,45.2,0.0,1.17,0.22,0.934,1.494,0.165,52.0,0.0,52.0,52.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1.01,0.0,0.0,3.2,1.328,2.376,2.766,0.0,94.0,1 cup,,,0.0
2179,OAT FLOUR PARTIAL DEBRANNED,8.55,404,14.66,9.12,1.97,65.7,6.5,0.8,55.0,4.0,144.0,452.0,371.0,19.0,3.2,0.437,4.019,34.0,0.0,0.692,0.125,1.474,0.201,0.125,32.0,0.0,32.0,32.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.7,0.0,0.0,3.2,1.607,2.866,3.329,0.0,104.0,1 cup,,,0.0
2180,OATS,8.22,389,16.89,6.9,1.72,66.27,10.6,,54.0,4.72,177.0,523.0,429.0,2.0,3.97,0.626,4.916,,0.0,0.763,0.139,0.961,1.349,0.119,56.0,0.0,56.0,56.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,1.217,2.178,2.535,0.0,156.0,1 cup,,,0.0
2181,OCEAN PERCH ATLANTIC RAW,83.07,79,15.31,1.54,1.2,0.0,0.0,0.0,28.0,0.22,23.0,248.0,187.0,287.0,0.29,0.021,0.011,28.6,0.0,0.04,0.048,1.005,0.272,0.073,9.0,0.0,9.0,9.0,65.0,1.5,40.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.76,1.2,48.0,0.1,0.273,0.475,0.304,52.0,28.35,"1 oz, boneless",64.0,1 fillet,0.0
2182,OCTOPUS COMMON COOKED MOIST HEAT,60.5,164,29.82,2.08,3.2,4.4,0.0,0.0,106.0,9.54,60.0,279.0,630.0,460.0,3.36,0.739,0.047,89.6,8.0,0.057,0.076,3.78,0.9,0.648,24.0,0.0,24.0,24.0,81.0,36.0,300.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.1,0.453,0.324,0.477,96.0,85.0,3 oz,,,0.0
2183,OCTOPUS COMMON RAW,80.25,82,14.91,1.04,1.6,2.2,0.0,0.0,53.0,5.3,30.0,186.0,350.0,230.0,1.68,0.435,0.025,44.8,5.0,0.03,0.04,2.1,0.5,0.36,16.0,0.0,16.0,16.0,65.0,20.0,150.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.1,0.227,0.162,0.239,48.0,85.0,3 oz,,,0.0
2184,OHELOBERRIES RAW,92.3,28,0.38,0.22,0.26,6.84,,,7.0,0.09,6.0,10.0,38.0,1.0,,,,,6.0,0.017,0.036,0.27,,,,,,,,0.0,830.0,42.0,0.0,,,,,,,,,,,,,0.0,140.0,1 cup,11.0,10 fruit,0.0
2185,OIL ALMOND,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,0.0,0.0,7.0,8.2,69.9,17.4,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2186,OIL APRICOT KERNEL,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,6.3,60.0,29.3,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2187,OIL AVOCADO,0.0,884,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,11.56,70.554,13.486,,14.0,1 tbsp,218.0,1 cup,0.0
2188,OIL BABASSU,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,,,,81.2,11.4,1.6,0.0,13.6,1 tbsp,218.0,1 cup,0.0
2189,OIL BEARDED NATIVE,0.02,899,0.56,99.6,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.011,0.0,0.0,0.0,0.0,2.0,,2.0,,0.1,0.0,33.0,10.0,10.0,,,,,,10.28,0.7,30.0,0.0,10.926,47.08,33.001,52.0,,,,,0.0
2190,OIL BELUGA NATIVE,0.0,900,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,2310.0,694.0,,0.0,0.0,0.0,0.0,0.0,8.27,5.7,228.0,0.0,14.49,54.19,10.8,,,,,,0.0
2191,OIL CANOLA,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.46,0.0,0.0,71.3,7.365,63.276,28.142,0.0,14.0,1 tbsp,218.0,1 cup,0.0
2192,OIL COCOA BUTTER,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,,,24.7,59.7,32.9,3.0,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2193,OIL COCONUT,0.03,892,0.0,99.06,0.03,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.6,82.475,6.332,1.702,0.0,13.6,1 tbsp,218.0,1 cup,0.0
2194,OIL COOKING SALAD ENOVA DIGLYCERIDES,0.0,884,0.0,100.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,21.64,,,,4.63,37.016,53.37,,14.0,"1 tbsp,  (1 NLEA serving)",214.0,1 cup,0.0
2195,OIL CORN CANOLA,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84,0.0,0.0,42.2,8.026,58.537,29.113,0.0,14.0,1 tbsp,224.0,1 cup,0.0
2196,OIL CORN PEANUT OLIVE,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.78,0.0,0.0,21.0,14.367,48.033,33.033,0.0,14.0,1 tablespoon,4.5,1 teaspoon,0.0
2197,OIL COTTONSEED SALAD COOKING,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,24.7,25.9,17.8,51.9,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2198,OIL CUPU ASSU,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,53.2,38.7,3.8,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2199,OIL FLAXSEED COLD PRESSED,0.12,884,0.11,99.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,9.3,8.976,18.438,67.849,0.0,13.6,1 tbsp,218.0,1 cup,0.0
2200,OIL GRAPESEED,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,,,,9.6,16.1,69.9,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2201,OIL HAZELNUT,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,,,,7.4,78.0,10.2,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2202,OIL INDUSTRIAL CANOLA ANTIFOAMING AGENT,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,,,122.0,7.615,62.093,25.588,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2203,OIL INDUSTRIAL CANOLA HI OLEIC,0.0,900,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.46,0.0,0.0,71.3,6.787,72.734,15.785,0.0,14.0,1 tablespoon,218.0,1 cup,0.0
2204,OIL INDUSTRIAL COCONUT,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,,,0.5,86.002,5.935,1.657,0.0,13.6,1 tbsp,218.0,1 cup,0.0
2205,OIL INDUSTRIAL COTTONSEED FULLY HYDROGENATED,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,24.7,93.608,1.529,0.587,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2206,OIL INDUSTRIAL HYDROGENATED PURPOSE,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,24.7,24.75,61.248,9.295,0.0,13.6,1 tbsp,218.0,1 cup,0.0
2207,OIL INDUSTRIAL MID OLEIC SUNFLOWER,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08,,,5.4,9.009,57.334,28.962,0.0,13.6,1 tablespoon,4.5,1 teaspoon,0.0
2208,OIL INDUSTRIAL PALM CONFECTION FAT,0.05,884,0.0,100.0,0.01,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,6.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,,,24.7,93.701,0.257,0.0,0.0,13.6,1 tbsp,218.0,1 cup,0.0
2209,OIL INDUSTRIAL PALM FILLING FAT,0.08,884,0.0,100.0,0.01,0.0,0.0,0.0,2.0,0.15,0.0,0.0,1.0,6.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,,,24.7,88.209,5.705,0.0,0.0,13.6,1 tbsp,218.0,1 cup,0.0
2210,OIL INDUSTRIAL PALM ICINGS FILLINGS,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,,,24.7,28.421,59.715,7.095,0.0,13.6,1 tbsp,218.0,1 cup,0.0
2211,OIL INDUSTRIAL PALM WHIPPED TOPPINGS,0.04,884,0.0,100.0,0.01,0.0,0.0,0.0,1.0,0.15,0.0,0.0,2.0,6.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,,,24.7,88.965,4.934,0.0,0.0,13.6,1 tbsp,218.0,1 cup,0.0
2212,OIL INDUSTRIAL SOY FULLY HYDROGENATED,0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0,0.0,183.9,93.966,1.341,0.383,0.0,13.6,1 tablespoon,218.0,1 cup,0.0
2213,OIL INDUSTRIAL SOY LOW LINOLENIC,0.0,900,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0,0.0,183.9,15.084,21.438,58.932,0.0,14.0,1 tablespoon,218.0,1 cup,0.0
2214,OIL INDUSTRIAL TOPPINGS WHITENERS,0.07,880,0.0,99.5,0.01,0.0,0.0,0.0,1.0,0.15,0.0,0.0,2.0,7.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,,,0.5,93.536,0.267,0.0,0.0,13.6,1 tbsp,218.0,1 cup,0.0
